x-axis,1,2,3
second,Volt,Volt,Volt
-3.852000E-06,+80.749988556E-03,-1.388000000268E+00,+593.750000000E-03
-3.850000E-06,+111.999988556E-03,-1.388000000268E+00,+593.750000000E-03
-3.848000E-06,+80.749988556E-03,-1.388000000268E+00,+562.500000000E-03
-3.846000E-06,+49.499988556E-03,-1.388000000268E+00,+562.500000000E-03
-3.844000E-06,+80.749988556E-03,-1.388000000268E+00,+500.000000000E-03
-3.842000E-06,+80.749988556E-03,-1.450500000268E+00,+468.750000000E-03
-3.840000E-06,+49.499988556E-03,-1.450500000268E+00,+437.500000000E-03
-3.838000E-06,+49.499988556E-03,-1.481750000268E+00,+468.750000000E-03
-3.836000E-06,+49.499988556E-03,-1.450500000268E+00,+406.250000000E-03
-3.834000E-06,+18.249988556E-03,-1.450500000268E+00,+406.250000000E-03
-3.832000E-06,+18.249988556E-03,-1.481750000268E+00,+375.000000000E-03
-3.830000E-06,+49.499988556E-03,-1.513000000268E+00,+312.500000000E-03
-3.828000E-06,+18.249988556E-03,-1.481750000268E+00,+281.250000000E-03
-3.826000E-06,+49.499988556E-03,-1.513000000268E+00,+281.250000000E-03
-3.824000E-06,+49.499988556E-03,-1.513000000268E+00,+250.000000000E-03
-3.822000E-06,+18.249988556E-03,-1.544250000268E+00,+218.750000000E-03
-3.820000E-06,+18.249988556E-03,-1.544250000268E+00,+156.250000000E-03
-3.818000E-06,+49.499988556E-03,-1.513000000268E+00,+156.250000000E-03
-3.816000E-06,+49.499988556E-03,-1.544250000268E+00,+156.250000000E-03
-3.814000E-06,+49.499988556E-03,-1.544250000268E+00,+125.000000000E-03
-3.812000E-06,+49.499988556E-03,-1.575500000268E+00,+93.750000000E-03
-3.810000E-06,+80.749988556E-03,-1.575500000268E+00,+62.500000000E-03
-3.808000E-06,+174.499988556E-03,-1.544250000268E+00,+62.500000000E-03
-3.806000E-06,+486.999988557E-03,-1.575500000268E+00,-0.0E+00
-3.804000E-06,+830.749988557E-03,-1.606750000268E+00,-31.250000000E-03
-3.802000E-06,+1.236999988557E+00,-1.606750000268E+00,+0.0E+00
-3.800000E-06,+1.705749988557E+00,-1.638000000268E+00,-0.0E+00
-3.798000E-06,+2.080749988556E+00,-1.606750000268E+00,-62.500000000E-03
-3.796000E-06,+2.361999988556E+00,-1.606750000268E+00,-93.750000000E-03
-3.794000E-06,+2.611999988556E+00,-1.606750000268E+00,-156.250000000E-03
-3.792000E-06,+2.830749988556E+00,-1.606750000268E+00,-156.250000000E-03
-3.790000E-06,+3.018249988556E+00,-1.575500000268E+00,-156.250000000E-03
-3.788000E-06,+3.205749988556E+00,-1.606750000268E+00,-156.250000000E-03
-3.786000E-06,+3.361999988556E+00,-1.575500000268E+00,-218.750000000E-03
-3.784000E-06,+3.549499988556E+00,-1.606750000268E+00,-250.000000000E-03
-3.782000E-06,+3.674499988556E+00,-1.575500000268E+00,-312.500000000E-03
-3.780000E-06,+3.830749988556E+00,-1.606750000268E+00,-375.000000000E-03
-3.778000E-06,+3.955749988556E+00,-1.606750000268E+00,-375.000000000E-03
-3.776000E-06,+4.049499988556E+00,-1.606750000268E+00,-375.000000000E-03
-3.774000E-06,+4.111999988556E+00,-1.606750000268E+00,-437.500000000E-03
-3.772000E-06,+4.205749988556E+00,-1.606750000268E+00,-468.750000000E-03
-3.770000E-06,+4.299499988556E+00,-1.575500000268E+00,-531.250000000E-03
-3.768000E-06,+4.361999988556E+00,-1.606750000268E+00,-562.500000000E-03
-3.766000E-06,+4.424499988556E+00,-1.606750000268E+00,-593.750000000E-03
-3.764000E-06,+4.486999988556E+00,-1.606750000268E+00,-625.000000000E-03
-3.762000E-06,+4.518249988556E+00,-1.575500000268E+00,-625.000000000E-03
-3.760000E-06,+4.580749988556E+00,-1.575500000268E+00,-656.250000000E-03
-3.758000E-06,+4.611999988556E+00,-1.575500000268E+00,-687.500000000E-03
-3.756000E-06,+4.643249988556E+00,-1.575500000268E+00,-750.000000000E-03
-3.754000E-06,+4.705749988556E+00,-1.575500000268E+00,-781.250000000E-03
-3.752000E-06,+4.705749988556E+00,-1.575500000268E+00,-843.750000000E-03
-3.750000E-06,+4.768249988556E+00,-1.544250000268E+00,-843.750000000E-03
-3.748000E-06,+4.799499988556E+00,-1.544250000268E+00,-906.250000000E-03
-3.746000E-06,+4.830749988556E+00,-1.575500000268E+00,-906.250000000E-03
-3.744000E-06,+4.799499988556E+00,-1.544250000268E+00,-937.500000000E-03
-3.742000E-06,+4.830749988556E+00,-1.513000000268E+00,-968.750000000E-03
-3.740000E-06,+4.861999988556E+00,-1.513000000268E+00,-1.062500000000E+00
-3.738000E-06,+4.893249988556E+00,-1.481750000268E+00,-1.031250000000E+00
-3.736000E-06,+4.893249988556E+00,-1.513000000268E+00,-1.093750000000E+00
-3.734000E-06,+4.893249988556E+00,-1.513000000268E+00,-1.125000000000E+00
-3.732000E-06,+4.861999988556E+00,-1.481750000268E+00,-1.156250000000E+00
-3.730000E-06,+4.799499988555E+00,-1.481750000268E+00,-1.187500000000E+00
-3.728000E-06,+4.549499988554E+00,-1.450500000268E+00,-1.187500000000E+00
-3.726000E-06,+4.205749988554E+00,-1.481750000268E+00,-1.281250000000E+00
-3.724000E-06,+3.768249988554E+00,-1.419250000268E+00,-1.312500000000E+00
-3.722000E-06,+3.361999988554E+00,-1.450500000268E+00,-1.375000000000E+00
-3.720000E-06,+3.018249988554E+00,-1.419250000268E+00,-1.343750000000E+00
-3.718000E-06,+2.674499988555E+00,-1.419250000268E+00,-1.343750000000E+00
-3.716000E-06,+2.424499988555E+00,-1.388000000268E+00,-1.406250000000E+00
-3.714000E-06,+2.205749988555E+00,-1.419250000268E+00,-1.437500000000E+00
-3.712000E-06,+2.018249988555E+00,-1.388000000268E+00,-1.531250000000E+00
-3.710000E-06,+1.799499988555E+00,-1.388000000268E+00,-1.562500000000E+00
-3.708000E-06,+1.611999988555E+00,-1.356750000268E+00,-1.562500000000E+00
-3.706000E-06,+1.455749988555E+00,-1.356750000268E+00,-1.593750000000E+00
-3.704000E-06,+1.330749988555E+00,-1.325500000268E+00,-1.656250000000E+00
-3.702000E-06,+1.174499988555E+00,-1.356750000268E+00,-1.656250000000E+00
-3.700000E-06,+1.049499988555E+00,-1.325500000268E+00,-1.718750000000E+00
-3.698000E-06,+955.749988555E-03,-1.325500000268E+00,-1.781250000000E+00
-3.696000E-06,+861.999988556E-03,-1.294250000268E+00,-1.781250000000E+00
-3.694000E-06,+799.499988556E-03,-1.294250000268E+00,-1.843750000000E+00
-3.692000E-06,+736.999988555E-03,-1.263000000268E+00,-1.875000000000E+00
