x-axis,1,2,3
second,Volt,Volt,Volt
-7.93400E-06,+1.89375000000E+00,+1.81250000000E+00,+282.87500422E-03
-7.91400E-06,+1.95625000000E+00,+1.79375000000E+00,+283.81250424E-03
-7.89400E-06,+2.00000000000E+00,+1.84375000000E+00,+285.06250426E-03
-7.87400E-06,+2.03750000000E+00,+2.10000000000E+00,+281.93750421E-03
-7.85400E-06,+2.16250000000E+00,+2.20625000000E+00,+279.75000418E-03
-7.83400E-06,+2.25000000000E+00,+2.30625000000E+00,+281.62500421E-03
-7.81400E-06,+2.26875000000E+00,+2.47500000000E+00,+284.12500424E-03
-7.79400E-06,+2.33125000000E+00,+2.60000000000E+00,+199.12500298E-03
-7.77400E-06,+2.39375000000E+00,+2.70625000000E+00,+5.37500009E-03
-7.75400E-06,+2.45625000000E+00,+2.75000000000E+00,-5.87500008E-03
-7.73400E-06,+2.51875000000E+00,+2.73125000000E+00,-562.50000E-06
-7.71400E-06,+2.58125000000E+00,+2.72500000000E+00,+2.56250005E-03
-7.69400E-06,+2.60625000000E+00,+2.81250000000E+00,+4.75000008E-03
-7.67400E-06,+2.61875000000E+00,+2.83125000000E+00,+3.81250007E-03
-7.65400E-06,+2.75000000000E+00,+2.85625000000E+00,+1.62500003E-03
-7.63400E-06,+2.76875000000E+00,+2.85000000000E+00,+90.68750136E-03
-7.61400E-06,+2.83125000000E+00,+2.90000000000E+00,+295.68750442E-03
-7.59400E-06,+2.91250000000E+00,+2.83125000000E+00,+288.18750430E-03
-7.57400E-06,+2.98125000000E+00,+2.89375000000E+00,+285.06250426E-03
-7.55400E-06,+2.99375000000E+00,+2.97500000000E+00,+281.00000420E-03
-7.53400E-06,+3.10625000000E+00,+3.10000000000E+00,+279.43750417E-03
-7.51400E-06,+3.10000000000E+00,+3.26250000000E+00,+288.81250431E-03
-7.49400E-06,+3.18750000000E+00,+3.45625000000E+00,+296.31250442E-03
-7.47400E-06,+3.22500000000E+00,+3.51875000000E+00,+264.75000395E-03
-7.45400E-06,+3.29375000000E+00,+3.60000000000E+00,+127.87500191E-03
-7.43400E-06,+3.28750000000E+00,+3.70625000000E+00,-3.06250004E-03
-7.41400E-06,+3.37500000000E+00,+3.73125000000E+00,+8.81250014E-03
-7.39400E-06,+3.41250000000E+00,+3.68750000000E+00,+10.06250016E-03
-7.37400E-06,+3.50000000000E+00,+3.68750000000E+00,+6.00000010E-03
-7.35400E-06,+3.51875000000E+00,+3.68750000000E+00,+1.62500003E-03
-7.33400E-06,+3.58125000000E+00,+3.70625000000E+00,+2.56250005E-03
-7.31400E-06,+3.62500000000E+00,+3.76875000000E+00,+6.62500011E-03
-7.29400E-06,+3.62500000000E+00,+3.81250000000E+00,+93.50000140E-03
