time	V(logic)	V(signal_in)	V(signal_out)	V(vc)
2.074073629980532e-007	1.000000e+000	2.999927e+000	3.006141e+000	1.279163e-002
2.074393629980532e-007	1.000000e+000	2.999932e+000	3.006299e+000	1.279496e-002
2.075033629980533e-007	1.000000e+000	2.999941e+000	3.006616e+000	1.280163e-002
2.076313629980535e-007	1.000000e+000	2.999957e+000	3.007245e+000	1.281496e-002
2.078873629980537e-007	1.000000e+000	2.999983e+000	3.008498e+000	1.284163e-002
2.078883629980537e-007	1.000000e+000	2.999983e+000	3.008503e+000	1.284173e-002
2.078903629980537e-007	1.000000e+000	2.999983e+000	3.008512e+000	1.284194e-002
2.078943629980538e-007	1.000000e+000	2.999984e+000	3.008532e+000	1.284236e-002
2.079023629980538e-007	1.000000e+000	2.999984e+000	3.008571e+000	1.284319e-002
2.079183629980538e-007	1.000000e+000	2.999985e+000	3.008648e+000	1.284486e-002
2.079503629980538e-007	1.000000e+000	2.999987e+000	3.008804e+000	1.284819e-002
2.080143629980539e-007	1.000000e+000	2.999991e+000	3.009113e+000	1.285486e-002
2.081423629980540e-007	1.000000e+000	2.999997e+000	3.009732e+000	1.286819e-002
2.081433629980540e-007	1.000000e+000	2.999997e+000	3.009736e+000	1.286829e-002
2.081453629980540e-007	1.000000e+000	2.999997e+000	3.009746e+000	1.286850e-002
2.081493629980540e-007	1.000000e+000	2.999997e+000	3.009765e+000	1.286892e-002
2.081573629980540e-007	1.000000e+000	2.999997e+000	3.009804e+000	1.286975e-002
2.081733629980541e-007	1.000000e+000	2.999998e+000	3.009881e+000	1.287142e-002
2.082053629980541e-007	1.000000e+000	2.999999e+000	3.010034e+000	1.287475e-002
2.082693629980542e-007	1.000000e+000	3.000000e+000	3.010341e+000	1.288141e-002
2.082703629980542e-007	1.000000e+000	3.000000e+000	3.010346e+000	1.288152e-002
2.082723629980542e-007	1.000000e+000	3.000000e+000	3.010355e+000	1.288173e-002
2.082763629980542e-007	1.000000e+000	3.000000e+000	3.010375e+000	1.288214e-002
2.082843629980542e-007	1.000000e+000	3.000000e+000	3.010413e+000	1.288298e-002
2.083003629980542e-007	1.000000e+000	3.000000e+000	3.010489e+000	1.288464e-002
2.083023333333330e-007	1.000000e+000	3.000000e+000	3.010499e+000	1.288485e-002
2.083062740038905e-007	1.000000e+000	3.000000e+000	3.010518e+000	1.288526e-002
2.083141553450054e-007	1.000000e+000	3.000000e+000	3.010556e+000	1.288608e-002
2.083185706511030e-007	1.000000e+000	3.000000e+000	3.010576e+000	1.288654e-002
2.083255027211379e-007	1.000000e+000	3.000000e+000	3.010610e+000	1.288726e-002
2.083265027211379e-007	1.000000e+000	3.000000e+000	3.010614e+000	1.288737e-002
2.083285027211379e-007	1.000000e+000	3.000000e+000	3.010624e+000	1.288757e-002
2.083303333333330e-007	1.000000e+000	3.000000e+000	3.010633e+000	1.288776e-002
2.083316721089428e-007	1.000000e+000	3.000000e+000	3.010639e+000	1.288790e-002
2.083326721089428e-007	1.000000e+000	3.000000e+000	3.010644e+000	1.288801e-002
2.083336721089428e-007	1.000000e+000	3.000000e+000	3.010649e+000	1.288811e-002
2.083343333333330e-007	1.000000e+000	3.000000e+000	3.010652e+000	1.288818e-002
2.083344333333330e-007	9.000000e-001	3.000000e+000	3.010652e+000	1.288819e-002
2.083346333333330e-007	7.000000e-001	3.000000e+000	3.010649e+000	1.288821e-002
2.083350333333330e-007	3.000000e-001	3.000000e+000	3.010625e+000	1.288823e-002
2.083353333333330e-007	0.000000e+000	3.000000e+000	3.010596e+000	1.288823e-002
2.083354133333330e-007	0.000000e+000	3.000000e+000	3.010587e+000	1.288823e-002
2.083355733333330e-007	0.000000e+000	3.000000e+000	3.010569e+000	1.288823e-002
2.083358933333330e-007	0.000000e+000	3.000000e+000	3.010533e+000	1.288823e-002
2.083365333333330e-007	0.000000e+000	3.000000e+000	3.010460e+000	1.288823e-002
2.083378133333330e-007	0.000000e+000	3.000000e+000	3.010316e+000	1.288823e-002
2.083403733333330e-007	0.000000e+000	3.000000e+000	3.010026e+000	1.288823e-002
2.083454933333330e-007	0.000000e+000	3.000000e+000	3.009448e+000	1.288823e-002
2.083557333333330e-007	0.000000e+000	3.000000e+000	3.008291e+000	1.288823e-002
2.083762133333330e-007	0.000000e+000	3.000000e+000	3.005980e+000	1.288823e-002
2.084171733333331e-007	0.000000e+000	2.999999e+000	3.001365e+000	1.288823e-002
2.084990933333332e-007	0.000000e+000	2.999997e+000	2.992160e+000	1.288823e-002
2.086629333333333e-007	0.000000e+000	2.999988e+000	2.973857e+000	1.288823e-002
2.089906133333337e-007	0.000000e+000	2.999954e+000	2.937670e+000	1.288823e-002
2.096459733333345e-007	0.000000e+000	2.999816e+000	2.866934e+000	1.288823e-002
2.109566933333360e-007	0.000000e+000	2.999267e+000	2.731727e+000	1.288823e-002
2.135781333333389e-007	0.000000e+000	2.997069e+000	2.484251e+000	1.288823e-002
2.188210133333449e-007	0.000000e+000	2.988666e+000	2.061765e+000	1.288824e-002
2.276236992013579e-007	0.000000e+000	2.964561e+000	1.502162e+000	1.288824e-002
2.377682625936217e-007	0.000000e+000	2.922207e+000	1.029451e+000	1.288824e-002
2.477581584232287e-007	0.000000e+000	2.864123e+000	7.080326e-001	1.288825e-002
2.583480537264148e-007	0.000000e+000	2.784996e+000	4.771622e-001	1.288825e-002
2.683790264018032e-007	0.000000e+000	2.693761e+000	3.290906e-001	1.288825e-002
2.787968069226403e-007	0.000000e+000	2.582592e+000	2.254835e-001	1.288826e-002
2.889375665733399e-007	0.000000e+000	2.459091e+000	1.572367e-001	1.288826e-002
2.994517010762897e-007	0.000000e+000	2.315830e+000	1.096124e-001	1.288826e-002
3.098274687181414e-007	0.000000e+000	2.160211e+000	7.800078e-002	1.288827e-002
3.205655143039430e-007	0.000000e+000	1.985207e+000	5.616182e-002	1.288827e-002
3.313427145685396e-007	0.000000e+000	1.796486e+000	4.160067e-002	1.288827e-002
3.426039552000738e-007	0.000000e+000	1.586599e+000	3.161346e-002	1.288828e-002
3.541876882168175e-007	0.000000e+000	1.358786e+000	2.495638e-002	1.288828e-002
3.665638035495723e-007	0.000000e+000	1.103984e+000	2.044865e-002	1.288828e-002
3.797591919714859e-007	0.000000e+000	8.218637e-001	1.748621e-002	1.288828e-002
3.943929429073487e-007	0.000000e+000	5.007618e-001	1.541872e-002	1.288829e-002
4.002796097932390e-007	0.000000e+000	3.695778e-001	1.485955e-002	1.288829e-002
4.048933328948864e-007	0.000000e+000	2.659099e-001	1.453559e-002	1.288829e-002
4.074392204633722e-007	0.000000e+000	2.085222e-001	1.438402e-002	1.288829e-002
4.115748915296953e-007	0.000000e+000	1.151126e-001	1.417300e-002	1.288829e-002
4.166666666666670e-007	0.000000e+000	-6.293944e-015	1.394083e-002	1.288829e-002
4.166667666666670e-007	1.000000e-001	-2.261947e-006	1.394083e-002	1.288829e-002
4.166669666666670e-007	3.000000e-001	-6.785840e-006	1.394216e-002	1.288829e-002
4.166673666666669e-007	7.000000e-001	-1.583363e-005	1.395068e-002	1.288830e-002
4.166676666666670e-007	1.000000e+000	-2.261947e-005	1.396126e-002	1.288831e-002
4.174166380952194e-007	1.000000e+000	-1.696536e-002	4.483760e-002	1.291621e-002
4.181656095237719e-007	1.000000e+000	-3.390488e-002	7.421251e-002	1.294358e-002
4.189145809523243e-007	1.000000e+000	-5.084117e-002	1.020860e-001	1.297042e-002
4.196635523808768e-007	1.000000e+000	-6.777423e-002	1.284580e-001	1.299673e-002
4.204125238094292e-007	1.000000e+000	-8.470406e-002	1.533287e-001	1.302250e-002
4.211614952379817e-007	1.000000e+000	-1.016307e-001	1.766979e-001	1.304774e-002
4.219104666665341e-007	1.000000e+000	-1.185540e-001	1.985657e-001	1.307244e-002
4.271533466664013e-007	1.000000e+000	-2.368021e-001	3.231296e-001	1.323143e-002
4.351672949103436e-007	1.000000e+000	-4.166932e-001	4.305516e-001	1.342746e-002
4.439964141605083e-007	1.000000e+000	-6.131817e-001	4.473310e-001	1.356812e-002
4.523209873054553e-007	1.000000e+000	-7.961932e-001	3.743261e-001	1.361558e-002
4.588954075102113e-007	1.000000e+000	-9.385297e-001	2.608438e-001	1.358282e-002
4.657693771243942e-007	1.000000e+000	-1.084752e+000	1.018404e-001	1.348036e-002
4.726151818865861e-007	1.000000e+000	-1.227507e+000	-8.046500e-002	1.331859e-002
4.794602794407589e-007	1.000000e+000	-1.366667e+000	-2.761012e-001	1.309823e-002
4.885221786389190e-007	1.000000e+000	-1.544290e+000	-5.403959e-001	1.272318e-002
5.017993806541035e-007	1.000000e+000	-1.789504e+000	-9.165179e-001	1.203127e-002
5.209683329523303e-007	1.000000e+000	-2.106002e+000	-1.410721e+000	1.077795e-002
5.505067480342907e-007	1.000000e+000	-2.511379e+000	-2.060121e+000	8.440508e-003
5.767532205231880e-007	1.000000e+000	-2.797447e+000	-2.540429e+000	6.084266e-003
5.828508284053597e-007	1.000000e+000	-2.846753e+000	-2.630539e+000	5.490892e-003
5.950460441697031e-007	1.000000e+000	-2.921006e+000	-2.780375e+000	4.256494e-003
6.006105684713131e-007	1.000000e+000	-2.946817e+000	-2.838405e+000	3.684561e-003
