x-axis,1,2,3
second,Volt,Volt,Volt
+69.800000E-06,-4.750000000000E+00,+225.000023842E-03,+2.549499988556E+00
+69.802000E-06,-4.687500000000E+00,+162.500023842E-03,+2.330749988555E+00
+69.804000E-06,-4.687500000000E+00,+162.500023841E-03,+2.080749988555E+00
+69.806000E-06,-4.625000000000E+00,+100.000023841E-03,+1.893249988554E+00
+69.808000E-06,-4.624999999999E+00,+37.500023843E-03,+1.705749988554E+00
+69.810000E-06,-4.562500000000E+00,+100.000023840E-03,+1.549499988554E+00
+69.812000E-06,-4.562499999999E+00,-24.999976158E-03,+1.424499988555E+00
+69.814000E-06,-4.499999999998E+00,-24.999976158E-03,+1.330749988554E+00
+69.816000E-06,-4.375000000001E+00,-24.999976159E-03,+1.205749988554E+00
+69.818000E-06,-4.437500000000E+00,-87.499976157E-03,+1.111999988554E+00
+69.820000E-06,-4.437499999999E+00,-24.999976160E-03,+1.018249988554E+00
+69.822000E-06,-4.374999999997E+00,-87.499976158E-03,+955.749988553E-03
+69.824000E-06,-4.250000000002E+00,-87.499976158E-03,+830.749988554E-03
+69.826000E-06,-4.312499999998E+00,-87.499976158E-03,+768.249988555E-03
+69.828000E-06,-4.249999999998E+00,-87.499976158E-03,+736.999988554E-03
+69.830000E-06,-4.187499999996E+00,-87.499976158E-03,+674.499988554E-03
+69.832000E-06,-4.062500000000E+00,-87.499976160E-03,+611.999988554E-03
+69.834000E-06,-4.062499999998E+00,-149.999976158E-03,+549.499988553E-03
+69.836000E-06,-3.999999999997E+00,-149.999976161E-03,+486.999988556E-03
+69.838000E-06,-3.937499999995E+00,-212.499976155E-03,+486.999988553E-03
+69.840000E-06,-3.812500000000E+00,-149.999976158E-03,+424.499988554E-03
+69.842000E-06,-3.812500000000E+00,-149.999976158E-03,+393.249988554E-03
+69.844000E-06,-3.812499999997E+00,-149.999976155E-03,+361.999988553E-03
+69.846000E-06,-3.749999999997E+00,-87.499976158E-03,+299.499988554E-03
+69.848000E-06,-3.687499999997E+00,-87.499976162E-03,+268.249988556E-03
+69.850000E-06,-3.624999999996E+00,-149.999976155E-03,+268.249988554E-03
+69.852000E-06,-3.562499999996E+00,-87.499976154E-03,+236.999988554E-03
+69.854000E-06,-3.499999999996E+00,-24.999976162E-03,+205.749988554E-03
+69.856000E-06,-3.437499999996E+00,-87.499976158E-03,+174.499988554E-03
+69.858000E-06,-3.375000000000E+00,-87.499976154E-03,+143.249988556E-03
+69.860000E-06,-3.374999999992E+00,-24.999976162E-03,+143.249988558E-03
+69.862000E-06,-3.249999999996E+00,-87.499976158E-03,+174.499988554E-03
+69.864000E-06,-3.187500000000E+00,-87.499976154E-03,+143.249988554E-03
+69.866000E-06,-3.187499999995E+00,-24.999976158E-03,+111.999988554E-03
+69.868000E-06,-3.124999999995E+00,-24.999976158E-03,+80.749988556E-03
+69.870000E-06,-3.062499999995E+00,-24.999976153E-03,+80.749988553E-03
+69.872000E-06,-2.999999999995E+00,+37.500023842E-03,+49.499988556E-03
+69.874000E-06,-2.937499999995E+00,+37.500023847E-03,+49.499988553E-03
+69.876000E-06,-2.874999999989E+00,+100.000023842E-03,+18.249988556E-03
+69.878000E-06,-2.750000000000E+00,+100.000023836E-03,+18.249988556E-03
+69.880000E-06,-2.749999999994E+00,+37.500023847E-03,+18.249988556E-03
+69.882000E-06,-2.687499999994E+00,+100.000023842E-03,+18.249988553E-03
+69.884000E-06,-2.624999999994E+00,+100.000023848E-03,-13.000011444E-03
+69.886000E-06,-2.562499999994E+00,+162.500023848E-03,-13.000011447E-03
+69.888000E-06,-2.499999999994E+00,+225.000023836E-03,-44.250011444E-03
+69.890000E-06,-2.437499999994E+00,+162.500023848E-03,-44.250011441E-03
+69.892000E-06,-2.374999999994E+00,+225.000023835E-03,-13.000011447E-03
+69.894000E-06,-2.312499999980E+00,+162.500023842E-03,-44.250011444E-03
+69.896000E-06,-2.124999999993E+00,+162.500023842E-03,-44.250011444E-03
+69.898000E-06,-2.062500000007E+00,+162.500023849E-03,-44.250011441E-03
+69.900000E-06,-2.124999999986E+00,+225.000023842E-03,-13.000011448E-03
+69.902000E-06,-1.999999999986E+00,+225.000023849E-03,-44.250011444E-03
+69.904000E-06,-1.874999999993E+00,+287.500023842E-03,-44.250011444E-03
+69.906000E-06,-1.812500000000E+00,+287.500023849E-03,-44.250011448E-03
+69.908000E-06,-1.812499999985E+00,+350.000023827E-03,-75.500011440E-03
+69.910000E-06,-1.687499999992E+00,+225.000023842E-03,-44.250011448E-03
+69.912000E-06,-1.625000000000E+00,+225.000023850E-03,-75.500011440E-03
+69.914000E-06,-1.624999999984E+00,+287.500023850E-03,-44.250011448E-03
+69.916000E-06,-1.499999999992E+00,+350.000023834E-03,-75.500011444E-03
+69.918000E-06,-1.437499999992E+00,+287.500023842E-03,-75.500011444E-03
+69.920000E-06,-1.374999999992E+00,+287.500023850E-03,-75.500011448E-03
+69.922000E-06,-1.312499999992E+00,+350.000023850E-03,-106.750011440E-03
+69.924000E-06,-1.249999999983E+00,+412.500023833E-03,-75.500011444E-03
+69.926000E-06,-1.124999999991E+00,+350.000023842E-03,-75.500011448E-03
+69.928000E-06,-1.062499999991E+00,+350.000023851E-03,-106.750011444E-03
+69.930000E-06,-1.000000000000E+00,+412.500023842E-03,-106.750011440E-03
+69.932000E-06,-999.999999982E-03,+412.500023842E-03,-75.500011440E-03
+69.934000E-06,-874.999999981E-03,+412.500023833E-03,-44.250011449E-03
+69.936000E-06,-749.999999991E-03,+350.000023851E-03,-75.500011449E-03
+69.938000E-06,-687.500000000E-03,+412.500023842E-03,-106.750011439E-03
+69.940000E-06,-687.499999981E-03,+412.500023842E-03,-75.500011439E-03
+69.942000E-06,-562.499999980E-03,+412.500023842E-03,-44.250011444E-03
+69.944000E-06,-437.499999980E-03,+412.500023842E-03,-44.250011449E-03
+69.946000E-06,-312.499999990E-03,+412.500023842E-03,-75.500011444E-03
+69.948000E-06,-250.000000000E-03,+412.500023842E-03,-75.500011444E-03
+69.950000E-06,-249.999999990E-03,+412.500023831E-03,-75.500011449E-03
+69.952000E-06,-187.499999968E-03,+350.000023842E-03,-106.750011444E-03
+69.954000E-06,+0.0E+00,+350.000023842E-03,-106.750011439E-03
+69.956000E-06,+11E-12,+350.000023853E-03,-75.500011444E-03
+69.958000E-06,+62.500000011E-03,+412.500023831E-03,-75.500011450E-03
+69.960000E-06,+125.000000011E-03,+350.000023853E-03,-106.750011433E-03
+69.962000E-06,+187.500000011E-03,+412.500023842E-03,-44.250011444E-03
+69.964000E-06,+250.000000011E-03,+412.500023842E-03,-44.250011427E-03
+69.966000E-06,+312.500000023E-03,+412.500023830E-03,+49.499988573E-03
+69.968000E-06,+437.500000000E-03,+350.000023842E-03,+143.249988591E-03
+69.970000E-06,+437.500000012E-03,+350.000023842E-03,+330.749988609E-03
+69.972000E-06,+500.000000024E-03,+350.000023854E-03,+611.999988603E-03
+69.974000E-06,+625.000000012E-03,+412.500023830E-03,+861.999988586E-03
+69.976000E-06,+687.500000012E-03,+350.000023842E-03,+1.018249988586E+00
+69.978000E-06,+750.000000012E-03,+350.000023854E-03,+1.174499988580E+00
+69.980000E-06,+812.500000025E-03,+412.500023842E-03,+1.299499988581E+00
+69.982000E-06,+937.500000013E-03,+412.500023842E-03,+1.424499988575E+00
+69.984000E-06,+1.000000000013E+00,+412.500023842E-03,+1.518249988575E+00
+69.986000E-06,+1.062500000000E+00,+412.500023842E-03,+1.611999988588E+00
+69.988000E-06,+1.062500000026E+00,+412.500023842E-03,+1.768249988569E+00
+69.990000E-06,+1.187500000013E+00,+412.500023829E-03,+1.830749988569E+00
+69.992000E-06,+1.250000000013E+00,+350.000023855E-03,+1.893249988576E+00
+69.994000E-06,+1.312500000027E+00,+412.500023828E-03,+1.986999988569E+00
+69.996000E-06,+1.437500000000E+00,+350.000023855E-03,+2.049499988576E+00
+69.998000E-06,+1.437500000027E+00,+412.500023828E-03,+2.143249988563E+00
+70.000000E-06,+1.562500000014E+00,+350.000023856E-03,+2.174499988570E+00
+70.002000E-06,+1.625000000000E+00,+412.500023828E-03,+2.236999988570E+00
+70.004000E-06,+1.625000000028E+00,+350.000023842E-03,+2.299499988563E+00
+70.006000E-06,+1.750000000014E+00,+350.000023842E-03,+2.330749988556E+00
+70.008000E-06,+1.812500000014E+00,+350.000023842E-03,+2.330749988570E+00
+70.010000E-06,+1.875000000014E+00,+350.000023827E-03,+2.393249988563E+00
+70.012000E-06,+1.937500000015E+00,+287.500023856E-03,+2.424499988571E+00
+70.014000E-06,+2.000000000015E+00,+350.000023827E-03,+2.486999988556E+00
+70.016000E-06,+2.062500000015E+00,+287.500023872E-03,+2.486999988563E+00
+70.018000E-06,+2.125000000015E+00,+412.500023827E-03,+2.518249988563E+00
+70.020000E-06,+2.187500000000E+00,+350.000023842E-03,+2.549499988563E+00
+70.022000E-06,+2.187500000046E+00,+350.000023827E-03,+2.580749988556E+00
+70.024000E-06,+2.375000000000E+00,+287.500023842E-03,+2.580749988564E+00
+70.026000E-06,+2.375000000016E+00,+287.500023842E-03,+2.611999988564E+00
+70.028000E-06,+2.437500000016E+00,+287.500023842E-03,+2.643249988564E+00
+70.030000E-06,+2.500000000016E+00,+287.500023842E-03,+2.674499988556E+00
+70.032000E-06,+2.562500000016E+00,+287.500023842E-03,+2.674499988556E+00
+70.034000E-06,+2.625000000000E+00,+287.500023842E-03,+2.674499988580E+00
+70.036000E-06,+2.625000000016E+00,+287.500023842E-03,+2.768249988548E+00
+70.038000E-06,+2.687500000000E+00,+287.500023842E-03,+2.736999988556E+00
+70.040000E-06,+2.687500000033E+00,+287.500023842E-03,+2.736999988556E+00
+70.042000E-06,+2.812500000017E+00,+287.500023842E-03,+2.736999988564E+00
+70.044000E-06,+2.875000000000E+00,+287.500023825E-03,+2.768249988556E+00
+70.046000E-06,+2.875000000017E+00,+225.000023842E-03,+2.768249988556E+00
+70.048000E-06,+2.937500000034E+00,+225.000023842E-03,+2.768249988556E+00
+70.050000E-06,+3.062500000000E+00,+225.000023859E-03,+2.768249988565E+00
+70.052000E-06,+3.062500000000E+00,+287.500023824E-03,+2.799499988556E+00
+70.054000E-06,+3.062500000035E+00,+225.000023842E-03,+2.799499988556E+00
+70.056000E-06,+3.187500000018E+00,+225.000023842E-03,+2.799499988556E+00
+70.058000E-06,+3.250000000000E+00,+225.000023860E-03,+2.799499988574E+00
+70.060000E-06,+3.250000000018E+00,+287.500023842E-03,+2.861999988556E+00
+70.062000E-06,+3.312500000018E+00,+287.500023860E-03,+2.861999988538E+00
+70.064000E-06,+3.375000000018E+00,+350.000023824E-03,+2.799499988565E+00
+70.066000E-06,+3.437500000018E+00,+287.500023842E-03,+2.830749988565E+00
+70.068000E-06,+3.500000000018E+00,+287.500023860E-03,+2.861999988556E+00
+70.070000E-06,+3.562500000000E+00,+350.000023842E-03,+2.861999988556E+00
+70.072000E-06,+3.562500000000E+00,+350.000023842E-03,+2.861999988556E+00
+70.074000E-06,+3.562500000000E+00,+350.000023842E-03,+2.861999988546E+00
+70.076000E-06,+3.562500000038E+00,+350.000023823E-03,+2.830749988575E+00
+70.078000E-06,+3.687500000019E+00,+287.500023842E-03,+2.893249988546E+00
+70.080000E-06,+3.749999999981E+00,+287.500023861E-03,+2.861999988556E+00
+70.082000E-06,+3.687500000039E+00,+350.000023842E-03,+2.861999988556E+00
+70.084000E-06,+3.812500000000E+00,+350.000023842E-03,+2.861999988556E+00
+70.086000E-06,+3.812500000039E+00,+350.000023842E-03,+2.861999988546E+00
+70.088000E-06,+3.937500000000E+00,+350.000023862E-03,+2.830749988566E+00
+70.090000E-06,+3.937500000000E+00,+412.500023842E-03,+2.861999988556E+00
+70.092000E-06,+3.937500000020E+00,+412.500023842E-03,+2.861999988556E+00
+70.094000E-06,+4.000000000000E+00,+412.500023842E-03,+2.861999988556E+00
+70.096000E-06,+4.000000000020E+00,+412.500023842E-03,+2.861999988556E+00
+70.098000E-06,+4.062500000000E+00,+412.500023862E-03,+2.861999988566E+00
+70.100000E-06,+4.062500000021E+00,+475.000023821E-03,+2.893249988556E+00
