x-axis,1,2,3
+69.948000E-06,-1.938499987125E+00,+2.474999994040E+00,+2.293750002980E+00
+69.950000E-06,-1.938499987125E+00,+2.474999994040E+00,+2.356250002980E+00
+69.952000E-06,-1.875999987125E+00,+2.474999994040E+00,+2.387500002981E+00
+69.954000E-06,-1.813499987124E+00,+2.474999994040E+00,+2.450000002980E+00
+69.956000E-06,-1.688499987125E+00,+2.474999994038E+00,+2.450000002981E+00
+69.958000E-06,-1.688499987123E+00,+2.349999994040E+00,+2.512500002980E+00
+69.960000E-06,-1.500999987125E+00,+2.349999994040E+00,+2.481250002981E+00
+69.962000E-06,-1.500999987124E+00,+2.349999994040E+00,+2.543750002980E+00
+69.964000E-06,-1.438499987124E+00,+2.349999994038E+00,+2.543750002981E+00
+69.966000E-06,-1.375999987123E+00,+2.287499994040E+00,+2.575000002981E+00
+69.968000E-06,-1.250999987125E+00,+2.287499994038E+00,+2.606250002980E+00
+69.970000E-06,-1.250999987121E+00,+2.224999994040E+00,+2.575000002981E+00
+69.972000E-06,-1.063499987125E+00,+2.224999994040E+00,+2.606250002981E+00
+69.974000E-06,-1.063499987124E+00,+2.224999994036E+00,+2.637500002980E+00
+69.976000E-06,-1.000999987125E+00,+2.099999994040E+00,+2.637500002981E+00
+69.978000E-06,-1.000999987119E+00,+2.099999994040E+00,+2.668750002980E+00
+69.980000E-06,-813.499987121E-03,+2.099999994037E+00,+2.668750002981E+00
+69.982000E-06,-688.499987123E-03,+2.037499994037E+00,+2.700000002981E+00
+69.984000E-06,-625.999987123E-03,+1.974999994040E+00,+2.731250002980E+00
+69.986000E-06,-563.499987123E-03,+1.974999994034E+00,+2.731250002980E+00
+69.988000E-06,-500.999987123E-03,+1.849999994042E+00,+2.731250002982E+00
+69.990000E-06,-438.499987119E-03,+1.912499994037E+00,+2.762500002980E+00
+69.992000E-06,-313.499987119E-03,+1.849999994036E+00,+2.762500002982E+00
+69.994000E-06,-188.499987125E-03,+1.787499994040E+00,+2.793750002980E+00
+69.996000E-06,-188.499987122E-03,+1.787499994036E+00,+2.793750002980E+00
+69.998000E-06,-125.999987118E-03,+1.724999994040E+00,+2.793750002980E+00
+70.000000E-06,-999.987125E-06,+1.724999994036E+00,+2.793750002982E+00
+70.002000E-06,-999.987122E-06,+1.662499994032E+00,+2.825000002978E+00
+70.004000E-06,+61.500012879E-03,+1.537499994040E+00,+2.793750002982E+00
+70.006000E-06,+124.000012879E-03,+1.537499994044E+00,+2.825000002978E+00
+70.008000E-06,+186.500012875E-03,+1.599999994035E+00,+2.793750002982E+00
+70.010000E-06,+186.500012883E-03,+1.537499994031E+00,+2.825000002982E+00
+70.012000E-06,+311.500012879E-03,+1.412499994040E+00,+2.856250002978E+00
+70.014000E-06,+374.000012893E-03,+1.412499994040E+00,+2.825000002980E+00
+70.016000E-06,+624.000012870E-03,+1.412499994040E+00,+2.825000002983E+00
+70.018000E-06,+561.500012879E-03,+1.412499994035E+00,+2.856250002980E+00
+70.020000E-06,+624.000012885E-03,+1.349999994035E+00,+2.856250002983E+00
+70.022000E-06,+749.000012885E-03,+1.287499994040E+00,+2.887500002975E+00
+70.024000E-06,+874.000012875E-03,+1.287499994034E+00,+2.825000002983E+00
+70.026000E-06,+874.000012885E-03,+1.224999994034E+00,+2.856250002980E+00
+70.028000E-06,+999.000012875E-03,+1.162499994045E+00,+2.856250002980E+00
+70.030000E-06,+999.000012880E-03,+1.224999994034E+00,+2.856250002977E+00
+70.032000E-06,+1.061500012880E+00,+1.162499994040E+00,+2.825000002980E+00
+70.034000E-06,+1.124000012887E+00,+1.162499994028E+00,+2.825000002983E+00
+70.036000E-06,+1.249000012881E+00,+1.037499994040E+00,+2.856250002983E+00
+70.038000E-06,+1.311500012881E+00,+1.037499994033E+00,+2.887500002977E+00
+70.040000E-06,+1.374000012881E+00,+974.999994046E-03,+2.856250002983E+00
+70.042000E-06,+1.436500012888E+00,+1.037499994026E+00,+2.887500002977E+00
+70.044000E-06,+1.561500012868E+00,+912.499994033E-03,+2.856250002984E+00
+70.046000E-06,+1.499000012881E+00,+849.999994033E-03,+2.887500002977E+00
+70.048000E-06,+1.561500012882E+00,+787.499994040E-03,+2.856250002980E+00
+70.050000E-06,+1.624000012889E+00,+787.499994025E-03,+2.856250002980E+00
+70.052000E-06,+1.749000012882E+00,+662.499994040E-03,+2.856250002984E+00
+70.054000E-06,+1.811500012882E+00,+662.499994032E-03,+2.887500002977E+00
+70.056000E-06,+1.874000012882E+00,+599.999994040E-03,+2.856250002980E+00
+70.058000E-06,+1.936500012882E+00,+599.999994032E-03,+2.856250002980E+00
+70.060000E-06,+1.999000012882E+00,+537.499994040E-03,+2.856250002984E+00
+70.062000E-06,+2.061500012890E+00,+537.499994032E-03,+2.887500002976E+00
+70.064000E-06,+2.186500012875E+00,+474.999994040E-03,+2.856250002980E+00
+70.066000E-06,+2.186500012891E+00,+474.999994031E-03,+2.856250002980E+00
+70.068000E-06,+2.311500012875E+00,+412.499994031E-03,+2.856250002984E+00
+70.070000E-06,+2.311500012892E+00,+349.999994031E-03,+2.887500002976E+00
+70.072000E-06,+2.436500012875E+00,+287.499994040E-03,+2.856250002980E+00
+70.074000E-06,+2.436500012883E+00,+287.499994031E-03,+2.856250002980E+00
+70.076000E-06,+2.499000012883E+00,+224.999994040E-03,+2.856250002985E+00
+70.078000E-06,+2.561500012884E+00,+224.999994031E-03,+2.887500002976E+00
+70.080000E-06,+2.624000012875E+00,+162.499994030E-03,+2.856250002980E+00
+70.082000E-06,+2.624000012902E+00,+99.999994030E-03,+2.856250002976E+00
+70.084000E-06,+2.811500012875E+00,+37.499994040E-03,+2.825000002985E+00
+70.086000E-06,+2.811500012884E+00,+37.499994020E-03,+2.856250002975E+00
+70.088000E-06,+2.874000012875E+00,-87.500005960E-03,+2.825000002985E+00
+70.090000E-06,+2.874000012894E+00,-87.500005960E-03,+2.856250002980E+00
+70.092000E-06,+2.999000012885E+00,-87.500005960E-03,+2.856250002980E+00
+70.094000E-06,+3.061500012885E+00,-87.500005991E-03,+2.856250002980E+00
+70.096000E-06,+3.124000012875E+00,-275.000005950E-03,+2.856250002980E+00
+70.098000E-06,+3.124000012885E+00,-212.500005981E-03,+2.856250002980E+00
+70.100000E-06,+3.186500012875E+00,-337.500005971E-03,+2.856250002975E+00
+70.102000E-06,+3.186500012885E+00,-400.000005971E-03,+2.825000002980E+00
+70.104000E-06,+3.249000012885E+00,-462.500005950E-03,+2.825000002986E+00
+70.106000E-06,+3.311500012886E+00,-400.000005982E-03,+2.856250002980E+00
+70.108000E-06,+3.374000012864E+00,-525.000005972E-03,+2.856250002980E+00
+70.110000E-06,+3.311500012886E+00,-587.500005960E-03,+2.856250002975E+00
+70.112000E-06,+3.374000012886E+00,-587.500005960E-03,+2.825000002975E+00
+70.114000E-06,+3.436500012886E+00,-587.500005972E-03,+2.793750002963E+00
+70.116000E-06,+3.499000012886E+00,-650.000005972E-03,+2.700000002945E+00
+70.118000E-06,+3.561500012886E+00,-712.500005972E-03,+2.512500002933E+00
+70.120000E-06,+3.624000012875E+00,-775.000005960E-03,+2.262500002939E+00
+70.122000E-06,+3.624000012887E+00,-775.000005972E-03,+2.043750002938E+00
+70.124000E-06,+3.686500012887E+00,-837.500005973E-03,+1.825000002950E+00
+70.126000E-06,+3.749000012887E+00,-900.000005973E-03,+1.668750002956E+00
+70.128000E-06,+3.811500012862E+00,-962.500005960E-03,+1.543750002955E+00
+70.130000E-06,+3.749000012887E+00,-962.500005973E-03,+1.418750002955E+00
+70.132000E-06,+3.811500012887E+00,-1.025000005960E+00,+1.293750002961E+00
+70.134000E-06,+3.874000012875E+00,-1.025000005973E+00,+1.200000002955E+00
+70.136000E-06,+3.874000012888E+00,-1.087500005947E+00,+1.075000002961E+00
+70.138000E-06,+3.936500012875E+00,-1.025000005974E+00,+981.250002967E-03
+70.140000E-06,+3.936500012888E+00,-1.087500005960E+00,+918.750002960E-03
+70.142000E-06,+3.999000012875E+00,-1.087500005960E+00,+825.000002967E-03
+70.144000E-06,+3.999000012875E+00,-1.087500005960E+00,+762.500002967E-03
+70.146000E-06,+3.999000012888E+00,-1.087500005974E+00,+700.000002967E-03
+70.148000E-06,+4.061500012875E+00,-1.150000005974E+00,+637.500002973E-03
+70.150000E-06,+4.061500012902E+00,-1.212500005947E+00,+606.250002959E-03
+70.152000E-06,+4.186500012846E+00,-1.150000005960E+00,+512.500002973E-03
+70.154000E-06,+4.061500012903E+00,-1.150000005946E+00,+481.250002966E-03
+70.156000E-06,+4.186500012889E+00,-1.087500005960E+00,+418.750002980E-03
+70.158000E-06,+4.249000012875E+00,-1.087500005960E+00,+418.750002973E-03
+70.160000E-06,+4.249000012860E+00,-1.087500005960E+00,+387.500002958E-03
+70.162000E-06,+4.186500012889E+00,-1.087500005960E+00,+293.750002980E-03
+70.164000E-06,+4.249000012890E+00,-1.087500005960E+00,+293.750002973E-03
+70.166000E-06,+4.311500012875E+00,-1.087500005945E+00,+262.500002973E-03
+70.168000E-06,+4.311500012875E+00,-1.025000005960E+00,+231.250002973E-03
+70.170000E-06,+4.311500012875E+00,-1.025000005960E+00,+200.000002973E-03
+70.172000E-06,+4.311500012875E+00,-1.025000005960E+00,+168.750002973E-03
+70.174000E-06,+4.311500012906E+00,-1.025000005945E+00,+137.500002980E-03
+70.176000E-06,+4.436500012859E+00,-962.500005945E-03,+137.500002980E-03
+70.178000E-06,+4.374000012875E+00,-900.000005976E-03,+137.500002972E-03
+70.180000E-06,+4.374000012875E+00,-962.500005928E-03,+106.250002980E-03
+70.182000E-06,+4.374000012891E+00,-837.500005960E-03,+106.250002972E-03
+70.184000E-06,+4.436500012858E+00,-837.500005960E-03,+75.000002980E-03
+70.186000E-06,+4.374000012891E+00,-837.500005944E-03,+75.000002964E-03
+70.188000E-06,+4.436500012875E+00,-775.000005944E-03,+12.500002989E-03
+70.190000E-06,+4.436500012875E+00,-712.500005960E-03,+43.750002980E-03
+70.192000E-06,+4.436500012858E+00,-712.500005944E-03,+43.750002980E-03
+70.194000E-06,+4.374000012892E+00,-650.000005960E-03,+43.750002963E-03
+70.196000E-06,+4.436500012875E+00,-650.000005943E-03,-18.749997011E-03
+70.198000E-06,+4.436500012892E+00,-587.500005978E-03,+12.500002980E-03
+70.200000E-06,+4.499000012840E+00,-650.000005926E-03,+12.500002972E-03
+70.202000E-06,+4.374000012892E+00,-525.000005960E-03,-18.749997020E-03
+70.204000E-06,+4.436500012857E+00,-525.000005943E-03,-18.749997020E-03
+70.206000E-06,+4.374000012875E+00,-462.500005960E-03,-18.749997029E-03
+70.208000E-06,+4.374000012875E+00,-462.500005925E-03,-49.999997011E-03
+70.210000E-06,+4.374000012875E+00,-337.500005960E-03,-18.749997020E-03
