time	V(logic)	V(signal_in)	V(signal_out)	V(vc)
2.033789250295071e-007	1.000000e+000	2.997834e+000	2.983676e+000	1.269882e-002
2.066253489583330e-007	1.000000e+000	2.999736e+000	2.994612e+000	1.302717e-002
2.073179920797694e-007	1.000000e+000	2.999912e+000	2.996710e+000	1.309713e-002
2.073189920797694e-007	1.000000e+000	2.999912e+000	2.996712e+000	1.309724e-002
2.073209920797694e-007	1.000000e+000	2.999913e+000	2.996718e+000	1.309744e-002
2.073249920797694e-007	1.000000e+000	2.999913e+000	2.996730e+000	1.309784e-002
2.073329920797694e-007	1.000000e+000	2.999915e+000	2.996754e+000	1.309865e-002
2.073489920797694e-007	1.000000e+000	2.999917e+000	2.996801e+000	1.310027e-002
2.073809920797695e-007	1.000000e+000	2.999923e+000	2.996895e+000	1.310350e-002
2.074449920797695e-007	1.000000e+000	2.999932e+000	2.997082e+000	1.310996e-002
2.075729920797697e-007	1.000000e+000	2.999949e+000	2.997454e+000	1.312289e-002
2.078289920797700e-007	1.000000e+000	2.999978e+000	2.998193e+000	1.314875e-002
2.078299920797700e-007	1.000000e+000	2.999978e+000	2.998196e+000	1.314886e-002
2.078319920797700e-007	1.000000e+000	2.999979e+000	2.998202e+000	1.314906e-002
2.078359920797700e-007	1.000000e+000	2.999979e+000	2.998213e+000	1.314946e-002
2.078439920797700e-007	1.000000e+000	2.999979e+000	2.998236e+000	1.315027e-002
2.078599920797700e-007	1.000000e+000	2.999981e+000	2.998282e+000	1.315189e-002
2.078919920797700e-007	1.000000e+000	2.999983e+000	2.998373e+000	1.315512e-002
2.079559920797701e-007	1.000000e+000	2.999988e+000	2.998555e+000	1.316158e-002
2.080839920797703e-007	1.000000e+000	2.999995e+000	2.998917e+000	1.317451e-002
2.080849920797703e-007	1.000000e+000	2.999995e+000	2.998919e+000	1.317462e-002
2.080869920797703e-007	1.000000e+000	2.999995e+000	2.998925e+000	1.317482e-002
2.080909920797703e-007	1.000000e+000	2.999995e+000	2.998936e+000	1.317522e-002
2.080989920797703e-007	1.000000e+000	2.999995e+000	2.998959e+000	1.317603e-002
2.081149920797703e-007	1.000000e+000	2.999996e+000	2.999004e+000	1.317765e-002
2.081469920797703e-007	1.000000e+000	2.999997e+000	2.999094e+000	1.318088e-002
2.082109920797704e-007	1.000000e+000	2.999999e+000	2.999273e+000	1.318734e-002
2.082119920797704e-007	1.000000e+000	2.999999e+000	2.999275e+000	1.318744e-002
2.082139920797704e-007	1.000000e+000	2.999999e+000	2.999281e+000	1.318765e-002
2.082179920797704e-007	1.000000e+000	2.999999e+000	2.999292e+000	1.318805e-002
2.082259920797704e-007	1.000000e+000	2.999999e+000	2.999315e+000	1.318886e-002
2.082419920797704e-007	1.000000e+000	2.999999e+000	2.999359e+000	1.319048e-002
2.082739920797705e-007	1.000000e+000	3.000000e+000	2.999448e+000	1.319371e-002
2.082749920797705e-007	1.000000e+000	3.000000e+000	2.999451e+000	1.319381e-002
2.082769920797705e-007	1.000000e+000	3.000000e+000	2.999457e+000	1.319401e-002
2.082809920797705e-007	1.000000e+000	3.000000e+000	2.999468e+000	1.319441e-002
2.082889920797705e-007	1.000000e+000	3.000000e+000	2.999490e+000	1.319522e-002
2.083049920797705e-007	1.000000e+000	3.000000e+000	2.999535e+000	1.319684e-002
2.083059920797705e-007	1.000000e+000	3.000000e+000	2.999537e+000	1.319694e-002
2.083079920797705e-007	1.000000e+000	3.000000e+000	2.999543e+000	1.319714e-002
2.083119920797705e-007	1.000000e+000	3.000000e+000	2.999554e+000	1.319755e-002
2.083199920797705e-007	1.000000e+000	3.000000e+000	2.999576e+000	1.319836e-002
2.083209920797705e-007	1.000000e+000	3.000000e+000	2.999579e+000	1.319846e-002
2.083229920797705e-007	1.000000e+000	3.000000e+000	2.999584e+000	1.319866e-002
2.083269920797705e-007	1.000000e+000	3.000000e+000	2.999596e+000	1.319906e-002
2.083279920797705e-007	1.000000e+000	3.000000e+000	2.999598e+000	1.319916e-002
2.083299920797705e-007	1.000000e+000	3.000000e+000	2.999604e+000	1.319936e-002
2.083313333333330e-007	1.000000e+000	3.000000e+000	2.999608e+000	1.319950e-002
2.083326508262081e-007	1.000000e+000	3.000000e+000	2.999611e+000	1.319963e-002
2.083336508262081e-007	1.000000e+000	3.000000e+000	2.999614e+000	1.319973e-002
2.083343333333330e-007	1.000000e+000	3.000000e+000	2.999616e+000	1.319980e-002
2.083344333333330e-007	9.000000e-001	3.000000e+000	2.999616e+000	1.319981e-002
2.083346333333330e-007	7.000000e-001	3.000000e+000	2.999610e+000	1.319983e-002
2.083350333333330e-007	3.000000e-001	3.000000e+000	2.999571e+000	1.319985e-002
2.083353333333330e-007	0.000000e+000	3.000000e+000	2.999522e+000	1.319985e-002
2.083354133333330e-007	0.000000e+000	3.000000e+000	2.999507e+000	1.319985e-002
2.083355733333330e-007	0.000000e+000	3.000000e+000	2.999477e+000	1.319985e-002
2.083358933333330e-007	0.000000e+000	3.000000e+000	2.999417e+000	1.319985e-002
2.083365333333330e-007	0.000000e+000	3.000000e+000	2.999297e+000	1.319985e-002
2.083378133333330e-007	0.000000e+000	3.000000e+000	2.999057e+000	1.319985e-002
2.083403733333330e-007	0.000000e+000	3.000000e+000	2.998577e+000	1.319985e-002
2.083454933333330e-007	0.000000e+000	3.000000e+000	2.997617e+000	1.319985e-002
2.083557333333330e-007	0.000000e+000	3.000000e+000	2.995699e+000	1.319985e-002
2.083762133333330e-007	0.000000e+000	3.000000e+000	2.991866e+000	1.319985e-002
2.084171733333331e-007	0.000000e+000	2.999999e+000	2.984220e+000	1.319986e-002
2.084990933333332e-007	0.000000e+000	2.999997e+000	2.969001e+000	1.319986e-002
2.086629333333333e-007	0.000000e+000	2.999988e+000	2.938853e+000	1.319986e-002
2.089906133333337e-007	0.000000e+000	2.999954e+000	2.879699e+000	1.319987e-002
2.096459733333345e-007	0.000000e+000	2.999816e+000	2.765790e+000	1.319989e-002
