x-axis,1,2,3
+69.800000E-06,-4.750000000000E+00,+350.000023842E-03,+2.643249988556E+00
+69.802000E-06,-4.687500000000E+00,+287.500023842E-03,+2.674499988556E+00
+69.804000E-06,-4.687500000000E+00,+287.500023842E-03,+2.674499988556E+00
+69.806000E-06,-4.625000000000E+00,+287.500023842E-03,+2.674499988556E+00
+69.808000E-06,-4.624999999999E+00,+287.500023842E-03,+2.705749988556E+00
+69.810000E-06,-4.562499999999E+00,+287.500023842E-03,+2.736999988556E+00
+69.812000E-06,-4.500000000000E+00,+287.500023842E-03,+2.705749988557E+00
+69.814000E-06,-4.499999999999E+00,+287.500023841E-03,+2.799499988555E+00
+69.816000E-06,-4.437500000000E+00,+225.000023843E-03,+2.768249988557E+00
+69.818000E-06,-4.437499999999E+00,+287.500023841E-03,+2.799499988555E+00
+69.820000E-06,-4.374999999999E+00,+225.000023842E-03,+2.768249988556E+00
+69.822000E-06,-4.312500000000E+00,+225.000023843E-03,+2.768249988556E+00
+69.824000E-06,-4.312499999998E+00,+287.500023842E-03,+2.768249988557E+00
+69.826000E-06,-4.249999999998E+00,+287.500023842E-03,+2.799499988555E+00
+69.828000E-06,-4.187499999998E+00,+287.500023844E-03,+2.768249988557E+00
+69.830000E-06,-4.125000000000E+00,+350.000023842E-03,+2.799499988555E+00
+69.832000E-06,-4.124999999998E+00,+350.000023840E-03,+2.768249988557E+00
+69.834000E-06,-4.062499999998E+00,+287.500023842E-03,+2.799499988557E+00
+69.836000E-06,-3.999999999995E+00,+287.500023844E-03,+2.830749988556E+00
+69.838000E-06,-3.875000000000E+00,+350.000023842E-03,+2.830749988555E+00
+69.840000E-06,-3.875000000000E+00,+350.000023845E-03,+2.799499988556E+00
+69.842000E-06,-3.874999999997E+00,+412.500023842E-03,+2.799499988556E+00
+69.844000E-06,-3.812499999997E+00,+412.500023842E-03,+2.799499988559E+00
+69.846000E-06,-3.749999999997E+00,+412.500023842E-03,+2.861999988554E+00
+69.848000E-06,-3.687499999997E+00,+412.500023845E-03,+2.830749988558E+00
+69.850000E-06,-3.625000000000E+00,+475.000023835E-03,+2.861999988556E+00
+69.852000E-06,-3.624999999993E+00,+350.000023849E-03,+2.861999988556E+00
+69.854000E-06,-3.500000000000E+00,+475.000023838E-03,+2.861999988556E+00
+69.856000E-06,-3.499999999992E+00,+412.500023846E-03,+2.861999988556E+00
+69.858000E-06,-3.374999999996E+00,+475.000023838E-03,+2.861999988556E+00
+69.860000E-06,-3.312499999996E+00,+412.500023846E-03,+2.861999988556E+00
+69.862000E-06,-3.250000000000E+00,+475.000023842E-03,+2.861999988556E+00
+69.864000E-06,-3.249999999996E+00,+475.000023842E-03,+2.861999988556E+00
+69.866000E-06,-3.187499999995E+00,+475.000023837E-03,+2.861999988556E+00
+69.868000E-06,-3.124999999990E+00,+412.500023851E-03,+2.861999988558E+00
+69.870000E-06,-2.999999999995E+00,+537.500023837E-03,+2.893249988553E+00
+69.872000E-06,-2.937500000000E+00,+475.000023847E-03,+2.861999988553E+00
+69.874000E-06,-2.937499999995E+00,+537.500023842E-03,+2.830749988558E+00
+69.876000E-06,-2.874999999989E+00,+537.500023847E-03,+2.861999988559E+00
+69.878000E-06,-2.750000000000E+00,+600.000023842E-03,+2.893249988553E+00
+69.880000E-06,-2.749999999994E+00,+600.000023842E-03,+2.861999988559E+00
+69.882000E-06,-2.687499999994E+00,+600.000023836E-03,+2.893249988553E+00
+69.884000E-06,-2.624999999988E+00,+537.500023848E-03,+2.861999988559E+00
+69.886000E-06,-2.500000000000E+00,+600.000023836E-03,+2.893249988556E+00
+69.888000E-06,-2.499999999994E+00,+537.500023848E-03,+2.893249988556E+00
+69.890000E-06,-2.437499999987E+00,+600.000023842E-03,+2.893249988556E+00
+69.892000E-06,-2.312499999994E+00,+600.000023842E-03,+2.893249988556E+00
+69.894000E-06,-2.249999999993E+00,+600.000023842E-03,+2.893249988553E+00
+69.896000E-06,-2.187500000000E+00,+600.000023842E-03,+2.861999988556E+00
+69.898000E-06,-2.187499999993E+00,+600.000023842E-03,+2.861999988556E+00
+69.900000E-06,-2.124999999986E+00,+600.000023842E-03,+2.861999988552E+00
+69.902000E-06,-1.999999999986E+00,+600.000023842E-03,+2.830749988538E+00
+69.904000E-06,-1.875000000000E+00,+600.000023842E-03,+2.674499988534E+00
+69.906000E-06,-1.874999999993E+00,+600.000023835E-03,+2.486999988526E+00
+69.908000E-06,-1.812499999985E+00,+537.500023849E-03,+2.236999988530E+00
+69.910000E-06,-1.687499999992E+00,+600.000023842E-03,+2.018249988529E+00
+69.912000E-06,-1.624999999992E+00,+600.000023842E-03,+1.799499988533E+00
+69.914000E-06,-1.562499999992E+00,+600.000023834E-03,+1.611999988540E+00
+69.916000E-06,-1.499999999976E+00,+537.500023850E-03,+1.486999988544E+00
+69.918000E-06,-1.312499999992E+00,+600.000023842E-03,+1.393249988540E+00
+69.920000E-06,-1.250000000000E+00,+600.000023842E-03,+1.268249988543E+00
+69.922000E-06,-1.249999999992E+00,+600.000023842E-03,+1.174499988535E+00
+69.924000E-06,-1.187499999991E+00,+600.000023842E-03,+1.018249988552E+00
+69.926000E-06,-1.124999999991E+00,+600.000023842E-03,+986.999988538E-03
+69.928000E-06,-1.062500000000E+00,+600.000023842E-03,+861.999988556E-03
+69.930000E-06,-1.062499999991E+00,+600.000023833E-03,+861.999988538E-03
+69.932000E-06,-999.999999973E-03,+537.500023842E-03,+736.999988551E-03
+69.934000E-06,-812.499999991E-03,+537.500023842E-03,+705.749988542E-03
+69.936000E-06,-750.000000000E-03,+537.500023851E-03,+611.999988551E-03
+69.938000E-06,-749.999999971E-03,+600.000023842E-03,+580.749988546E-03
+69.940000E-06,-562.499999990E-03,+600.000023832E-03,+518.249988551E-03
+69.942000E-06,-500.000000000E-03,+537.500023842E-03,+486.999988546E-03
+69.944000E-06,-499.999999990E-03,+537.500023842E-03,+424.499988551E-03
+69.946000E-06,-437.499999980E-03,+537.500023842E-03,+393.249988551E-03
+69.948000E-06,-312.499999980E-03,+537.500023842E-03,+361.999988556E-03
+69.950000E-06,-187.499999990E-03,+537.500023842E-03,+361.999988546E-03
+69.952000E-06,-124.999999989E-03,+537.500023842E-03,+299.499988551E-03
+69.954000E-06,-62.499999989E-03,+537.500023831E-03,+268.249988551E-03
+69.956000E-06,+11E-12,+475.000023842E-03,+236.999988556E-03
+69.958000E-06,+62.500000011E-03,+475.000023853E-03,+236.999988550E-03
+69.960000E-06,+125.000000000E-03,+537.500023842E-03,+205.749988556E-03
+69.962000E-06,+125.000000022E-03,+537.500023831E-03,+205.749988545E-03
+69.964000E-06,+250.000000011E-03,+475.000023842E-03,+143.249988550E-03
+69.966000E-06,+312.500000023E-03,+475.000023842E-03,+111.999988556E-03
+69.968000E-06,+437.500000000E-03,+475.000023830E-03,+111.999988556E-03
+69.970000E-06,+437.500000023E-03,+412.500023842E-03,+111.999988550E-03
+69.972000E-06,+562.500000012E-03,+412.500023842E-03,+80.749988562E-03
