x-axis,1,2,3
+15.57000E-06,+3.31150001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.58000E-06,+3.37400001287E+00,-1.27500000596E+00,-81.24999702E-03
+15.59000E-06,+3.37400001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.60000E-06,+3.31150001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.61000E-06,+3.37400001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.62000E-06,+3.37400001287E+00,-1.21250000596E+00,-49.99999702E-03
+15.63000E-06,+3.37400001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.64000E-06,+3.37400001287E+00,-1.27500000596E+00,-143.74999702E-03
+15.65000E-06,+3.31150001287E+00,-1.21250000596E+00,-112.49999702E-03
+15.66000E-06,+3.37400001287E+00,-1.21250000596E+00,-49.99999702E-03
+15.67000E-06,+3.31150001287E+00,-1.27500000596E+00,-81.24999702E-03
+15.68000E-06,+3.37400001287E+00,-1.21250000596E+00,-112.49999702E-03
+15.69000E-06,+3.37400001287E+00,-1.27500000596E+00,-81.24999702E-03
+15.70000E-06,+3.31150001287E+00,-1.27500000596E+00,-81.24999702E-03
+15.71000E-06,+3.31150001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.72000E-06,+3.37400001287E+00,-1.21250000596E+00,-49.99999702E-03
+15.73000E-06,+3.31150001287E+00,-1.21250000596E+00,-49.99999702E-03
+15.74000E-06,+3.37400001287E+00,-1.27500000596E+00,-49.99999702E-03
+15.75000E-06,+3.37400001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.76000E-06,+3.37400001287E+00,-1.27500000596E+00,-81.24999702E-03
+15.77000E-06,+3.37400001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.78000E-06,+3.37400001287E+00,-1.21250000596E+00,-49.99999702E-03
+15.79000E-06,+3.43650001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.80000E-06,+3.37400001287E+00,-1.21250000596E+00,-112.49999702E-03
+15.81000E-06,+3.37400001287E+00,-1.21250000596E+00,-81.24999702E-03
+15.82000E-06,+3.43650001287E+00,-1.27500000596E+00,-81.24999702E-03
+15.83000E-06,+3.37400001287E+00,-1.27500000596E+00,-112.49999702E-03
+15.84000E-06,+3.37400001287E+00,-1.27500000596E+00,-112.49999702E-03
