x-axis,1,2,3
+69.800000E-06,-4.750000000000E+00,+287.500023842E-03,-44.250011444E-03
+69.802000E-06,-4.812500000000E+00,+350.000023842E-03,-44.250011444E-03
+69.804000E-06,-4.687500000000E+00,+287.500023842E-03,-44.250011444E-03
+69.806000E-06,-4.687499999999E+00,+350.000023841E-03,-44.250011444E-03
+69.808000E-06,-4.625000000000E+00,+287.500023842E-03,-44.250011444E-03
+69.810000E-06,-4.625000000000E+00,+287.500023842E-03,-44.250011444E-03
+69.812000E-06,-4.625000000000E+00,+287.500023843E-03,-75.500011443E-03
+69.814000E-06,-4.624999999998E+00,+350.000023841E-03,-13.000011445E-03
+69.816000E-06,-4.500000000000E+00,+287.500023842E-03,-44.250011445E-03
+69.818000E-06,-4.499999999997E+00,+287.500023841E-03,-75.500011444E-03
+69.820000E-06,-4.375000000000E+00,+225.000023845E-03,-75.500011444E-03
+69.822000E-06,-4.374999999998E+00,+350.000023839E-03,-75.500011444E-03
+69.824000E-06,-4.312499999998E+00,+225.000023844E-03,-75.500011443E-03
+69.826000E-06,-4.250000000000E+00,+287.500023840E-03,-44.250011445E-03
+69.828000E-06,-4.249999999996E+00,+225.000023844E-03,-75.500011444E-03
+69.830000E-06,-4.125000000000E+00,+287.500023842E-03,-75.500011444E-03
+69.832000E-06,-4.125000000000E+00,+287.500023842E-03,-75.500011444E-03
+69.834000E-06,-4.124999999998E+00,+287.500023842E-03,-75.500011444E-03
+69.836000E-06,-4.062499999995E+00,+287.500023842E-03,-75.500011444E-03
+69.838000E-06,-3.937499999997E+00,+287.500023839E-03,-75.500011443E-03
+69.840000E-06,-3.875000000000E+00,+225.000023845E-03,-44.250011447E-03
+69.842000E-06,-3.874999999997E+00,+287.500023839E-03,-106.750011444E-03
+69.844000E-06,-3.812500000000E+00,+225.000023845E-03,-106.750011443E-03
+69.846000E-06,-3.812499999994E+00,+287.500023839E-03,-75.500011444E-03
+69.848000E-06,-3.687500000000E+00,+225.000023845E-03,-75.500011444E-03
+69.850000E-06,-3.687499999996E+00,+287.500023838E-03,-75.500011448E-03
+69.852000E-06,-3.624999999996E+00,+225.000023842E-03,-138.000011442E-03
+69.854000E-06,-3.562499999996E+00,+225.000023842E-03,-106.750011442E-03
+69.856000E-06,-3.500000000000E+00,+225.000023842E-03,-75.500011444E-03
+69.858000E-06,-3.499999999992E+00,+225.000023838E-03,-75.500011446E-03
+69.860000E-06,-3.375000000000E+00,+162.500023846E-03,-106.750011444E-03
+69.862000E-06,-3.374999999996E+00,+225.000023842E-03,-106.750011444E-03
+69.864000E-06,-3.312500000000E+00,+225.000023842E-03,-106.750011444E-03
+69.866000E-06,-3.312499999986E+00,+225.000023837E-03,-106.750011444E-03
+69.868000E-06,-3.125000000000E+00,+162.500023851E-03,-106.750011444E-03
+69.870000E-06,-3.124999999990E+00,+287.500023832E-03,-106.750011442E-03
+69.872000E-06,-3.000000000000E+00,+162.500023842E-03,-75.500011444E-03
+69.874000E-06,-2.999999999995E+00,+162.500023842E-03,-75.500011444E-03
+69.876000E-06,-2.937499999995E+00,+162.500023852E-03,-75.500011444E-03
+69.878000E-06,-2.874999999995E+00,+287.500023831E-03,-75.500011444E-03
+69.880000E-06,-2.812499999994E+00,+162.500023842E-03,-75.500011441E-03
+69.882000E-06,-2.749999999994E+00,+162.500023842E-03,-44.250011447E-03
+69.884000E-06,-2.687499999994E+00,+162.500023848E-03,-75.500011444E-03
+69.886000E-06,-2.624999999988E+00,+225.000023836E-03,-75.500011444E-03
+69.888000E-06,-2.500000000000E+00,+162.500023842E-03,-75.500011444E-03
+69.890000E-06,-2.499999999987E+00,+162.500023836E-03,-75.500011447E-03
+69.892000E-06,-2.374999999994E+00,+100.000023848E-03,-106.750011438E-03
+69.894000E-06,-2.312499999993E+00,+162.500023842E-03,-44.250011447E-03
+69.896000E-06,-2.249999999993E+00,+162.500023842E-03,-75.500011447E-03
+69.898000E-06,-2.187499999986E+00,+162.500023835E-03,-106.750011441E-03
+69.900000E-06,-2.062500000000E+00,+100.000023849E-03,-75.500011444E-03
+69.902000E-06,-2.062499999986E+00,+162.500023835E-03,-75.500011444E-03
+69.904000E-06,-1.937500000000E+00,+100.000023849E-03,-75.500011444E-03
+69.906000E-06,-1.937499999985E+00,+162.500023842E-03,-75.500011444E-03
+69.908000E-06,-1.812500000000E+00,+162.500023849E-03,-75.500011437E-03
+69.910000E-06,-1.812499999985E+00,+225.000023834E-03,-13.000011429E-03
+69.912000E-06,-1.687500000000E+00,+162.500023850E-03,+111.999988587E-03
+69.914000E-06,-1.687499999992E+00,+225.000023826E-03,+361.999988580E-03
+69.916000E-06,-1.624999999992E+00,+100.000023850E-03,+549.499988584E-03
+69.918000E-06,-1.562499999992E+00,+162.500023834E-03,+768.249988580E-03
+69.920000E-06,-1.499999999983E+00,+100.000023850E-03,+955.749988577E-03
+69.922000E-06,-1.374999999983E+00,+162.500023833E-03,+1.111999988577E+00
+69.924000E-06,-1.250000000000E+00,+100.000023850E-03,+1.268249988573E+00
+69.926000E-06,-1.249999999991E+00,+162.500023833E-03,+1.393249988573E+00
+69.928000E-06,-1.187499999982E+00,+100.000023851E-03,+1.518249988569E+00
+69.930000E-06,-1.062499999982E+00,+162.500023833E-03,+1.611999988569E+00
+69.932000E-06,-937.499999991E-03,+100.000023860E-03,+1.705749988574E+00
+69.934000E-06,-874.999999991E-03,+225.000023823E-03,+1.830749988561E+00
+69.936000E-06,-812.500000000E-03,+100.000023842E-03,+1.861999988570E+00
+69.938000E-06,-812.499999981E-03,+100.000023842E-03,+1.955749988561E+00
+69.940000E-06,-687.500000000E-03,+100.000023842E-03,+1.986999988570E+00
+69.942000E-06,-687.499999980E-03,+100.000023842E-03,+2.080749988571E+00
+69.944000E-06,-562.499999990E-03,+100.000023842E-03,+2.174499988561E+00
+69.946000E-06,-499.999999990E-03,+100.000023832E-03,+2.205749988566E+00
+69.948000E-06,-437.499999990E-03,+37.500023852E-03,+2.268249988561E+00
+69.950000E-06,-374.999999969E-03,+100.000023831E-03,+2.299499988561E+00
+69.952000E-06,-187.499999989E-03,+37.500023842E-03,+2.330749988566E+00
+69.954000E-06,-124.999999989E-03,+37.500023853E-03,+2.393249988556E+00
+69.956000E-06,-62.500000000E-03,+100.000023842E-03,+2.393249988567E+00
+69.958000E-06,-62.499999978E-03,+100.000023831E-03,+2.455749988561E+00
+69.960000E-06,+62.500000022E-03,+37.500023853E-03,+2.486999988561E+00
+69.962000E-06,+187.500000011E-03,+100.000023842E-03,+2.518249988556E+00
+69.964000E-06,+250.000000000E-03,+100.000023842E-03,+2.518249988567E+00
+69.966000E-06,+250.000000034E-03,+100.000023842E-03,+2.580749988556E+00
+69.968000E-06,+437.499999988E-03,+100.000023842E-03,+2.580749988562E+00
+69.970000E-06,+375.000000023E-03,+100.000023830E-03,+2.611999988556E+00
+69.972000E-06,+500.000000012E-03,+37.500023854E-03,+2.611999988562E+00
+69.974000E-06,+562.500000024E-03,+100.000023830E-03,+2.643249988562E+00
+69.976000E-06,+687.500000012E-03,+37.500023854E-03,+2.674499988562E+00
+69.978000E-06,+750.000000012E-03,+100.000023842E-03,+2.705749988550E+00
+69.980000E-06,+812.500000000E-03,+100.000023842E-03,+2.674499988568E+00
+69.982000E-06,+812.500000025E-03,+100.000023842E-03,+2.736999988550E+00
+69.984000E-06,+937.500000000E-03,+100.000023855E-03,+2.705749988569E+00
+69.986000E-06,+937.500000039E-03,+162.500023829E-03,+2.768249988549E+00
