time	V(cap)	V(logic)	V(signal_in)	V(signal_out)
2.500004287999997e-005	4.800974e+000	0.000000e+000	4.822790e+000	4.821590e+000
2.500008383999995e-005	4.800974e+000	0.000000e+000	4.822793e+000	4.821537e+000
2.500016575999990e-005	4.800974e+000	0.000000e+000	4.822799e+000	4.821432e+000
2.500032959999980e-005	4.800974e+000	0.000000e+000	4.822810e+000	4.821222e+000
2.500065727999960e-005	4.800974e+000	0.000000e+000	4.822832e+000	4.820812e+000
2.500131263999920e-005	4.800974e+000	0.000000e+000	4.822877e+000	4.820022e+000
2.500262335999841e-005	4.800974e+000	0.000000e+000	4.822968e+000	4.818554e+000
2.501048767999363e-005	4.800974e+000	0.000000e+000	4.823508e+000	4.812135e+000
2.502097343998726e-005	4.800974e+000	0.000000e+000	4.824226e+000	4.807373e+000
2.504194495997451e-005	4.800976e+000	0.000000e+000	4.825659e+000	4.803266e+000
2.508388799994903e-005	4.800981e+000	0.000000e+000	4.828501e+000	4.801270e+000
2.516777407989805e-005	4.801003e+000	0.000000e+000	4.834100e+000	4.801001e+000
2.533554623979610e-005	4.801070e+000	0.000000e+000	4.845049e+000	4.801152e+000
2.549097646527095e-005	4.801148e+000	0.000000e+000	4.854864e+000	4.801250e+000
2.572535146527095e-005	4.801278e+000	0.000000e+000	4.869058e+000	4.801390e+000
2.595116302922125e-005	4.801407e+000	0.000000e+000	4.882098e+000	4.801524e+000
2.618553802922125e-005	4.801546e+000	0.000000e+000	4.894909e+000	4.801667e+000
2.641991302922125e-005	4.801687e+000	0.000000e+000	4.906996e+000	4.801813e+000
2.665428802922125e-005	4.801832e+000	0.000000e+000	4.918350e+000	4.801962e+000
2.688866302922125e-005	4.801981e+000	0.000000e+000	4.928969e+000	4.802114e+000
2.712303802922125e-005	4.802132e+000	0.000000e+000	4.938851e+000	4.802269e+000
2.735741302922125e-005	4.802286e+000	0.000000e+000	4.947996e+000	4.802426e+000
2.759178802922125e-005	4.802443e+000	0.000000e+000	4.956402e+000	4.802585e+000
2.806053802922126e-005	4.802761e+000	0.000000e+000	4.970991e+000	4.802909e+000
2.852928802922126e-005	4.803087e+000	0.000000e+000	4.982609e+000	4.803238e+000
2.899803802922126e-005	4.803418e+000	0.000000e+000	4.991250e+000	4.803572e+000
2.946678802922126e-005	4.803753e+000	0.000000e+000	4.996908e+000	4.803909e+000
2.993553802922126e-005	4.804090e+000	0.000000e+000	4.999580e+000	4.804247e+000
3.040428802922126e-005	4.804428e+000	0.000000e+000	4.999266e+000	4.804584e+000
3.087303802922126e-005	4.804764e+000	0.000000e+000	4.995963e+000	4.804919e+000
3.134178802922125e-005	4.805098e+000	0.000000e+000	4.989676e+000	4.805251e+000
3.157616302922125e-005	4.805263e+000	0.000000e+000	4.985414e+000	4.805415e+000
3.181053802922125e-005	4.805427e+000	0.000000e+000	4.980406e+000	4.805577e+000
3.204491302922125e-005	4.805590e+000	0.000000e+000	4.974655e+000	4.805738e+000
3.227928802922124e-005	4.805751e+000	0.000000e+000	4.968161e+000	4.805897e+000
3.251366302922124e-005	4.805910e+000	0.000000e+000	4.960924e+000	4.806054e+000
3.274803802922124e-005	4.806067e+000	0.000000e+000	4.952947e+000	4.806208e+000
3.298241302922123e-005	4.806221e+000	0.000000e+000	4.944229e+000	4.806359e+000
3.321678802922123e-005	4.806374e+000	0.000000e+000	4.934772e+000	4.806508e+000
3.345116302922123e-005	4.806522e+000	0.000000e+000	4.924579e+000	4.806654e+000
3.368553802922123e-005	4.806669e+000	0.000000e+000	4.913650e+000	4.806797e+000
3.391991302922122e-005	4.806812e+000	0.000000e+000	4.901987e+000	4.806935e+000
3.415428802922122e-005	4.806951e+000	0.000000e+000	4.889591e+000	4.807070e+000
3.438866302922122e-005	4.807086e+000	0.000000e+000	4.876465e+000	4.807200e+000
3.462303802922122e-005	4.807218e+000	0.000000e+000	4.862611e+000	4.807326e+000
3.485741302922121e-005	4.807343e+000	0.000000e+000	4.848030e+000	4.807446e+000
3.509178802922121e-005	4.807464e+000	0.000000e+000	4.832725e+000	4.807558e+000
3.532616302922121e-005	4.807575e+000	0.000000e+000	4.816698e+000	4.807657e+000
3.556053802922120e-005	4.807669e+000	0.000000e+000	4.799951e+000	4.807720e+000
3.579491302922120e-005	4.807717e+000	0.000000e+000	4.782487e+000	4.807696e+000
